suicides,age,period,cohort,sex,country
0,20,2014,1994,female,Antigua and Barbuda
0,30,2014,1984,female,Antigua and Barbuda
0,44,2014,1970,female,Antigua and Barbuda
0,10,2014,2004,female,Antigua and Barbuda
0,64,2014,1950,female,Antigua and Barbuda
0,75,2014,1939,female,Antigua and Barbuda
0,20,2014,1994,male,Antigua and Barbuda
0,30,2014,1984,male,Antigua and Barbuda
0,44,2014,1970,male,Antigua and Barbuda
0,10,2014,2004,male,Antigua and Barbuda
0,64,2014,1950,male,Antigua and Barbuda
0,75,2014,1939,male,Antigua and Barbuda
1,64,2015,1951,female,Antigua and Barbuda
0,20,2015,1995,female,Antigua and Barbuda
0,30,2015,1985,female,Antigua and Barbuda
0,44,2015,1971,female,Antigua and Barbuda
0,10,2015,2005,female,Antigua and Barbuda
0,75,2015,1940,female,Antigua and Barbuda
0,20,2015,1995,male,Antigua and Barbuda
0,30,2015,1985,male,Antigua and Barbuda
0,44,2015,1971,male,Antigua and Barbuda
0,10,2015,2005,male,Antigua and Barbuda
0,64,2015,1951,male,Antigua and Barbuda
0,75,2015,1940,male,Antigua and Barbuda
202,75,1985,1910,male,Argentina
485,64,1985,1921,male,Argentina
414,44,1985,1941,male,Argentina
210,64,1985,1921,female,Argentina
177,30,1985,1955,male,Argentina
41,75,1985,1910,female,Argentina
156,20,1985,1965,male,Argentina
142,44,1985,1941,female,Argentina
65,30,1985,1955,female,Argentina
69,20,1985,1965,female,Argentina
16,10,1985,1975,male,Argentina
11,10,1985,1975,female,Argentina
230,75,1986,1911,male,Argentina
530,64,1986,1922,male,Argentina
478,44,1986,1942,male,Argentina
209,30,1986,1956,male,Argentina
48,75,1986,1911,female,Argentina
201,64,1986,1922,female,Argentina
186,20,1986,1966,male,Argentina
188,44,1986,1942,female,Argentina
96,30,1986,1956,female,Argentina
101,20,1986,1966,female,Argentina
10,10,1986,1976,male,Argentina
7,10,1986,1976,female,Argentina
200,75,1987,1912,male,Argentina
532,64,1987,1923,male,Argentina
482,44,1987,1943,male,Argentina
57,75,1987,1912,female,Argentina
224,64,1987,1923,female,Argentina
192,30,1987,1957,male,Argentina
179,20,1987,1967,male,Argentina
209,44,1987,1943,female,Argentina
89,30,1987,1957,female,Argentina
93,20,1987,1967,female,Argentina
15,10,1987,1977,male,Argentina
14,10,1987,1977,female,Argentina
216,75,1988,1913,male,Argentina
550,64,1988,1924,male,Argentina
477,44,1988,1944,male,Argentina
61,75,1988,1913,female,Argentina
233,64,1988,1924,female,Argentina
215,30,1988,1958,male,Argentina
211,20,1988,1968,male,Argentina
198,44,1988,1944,female,Argentina
101,20,1988,1968,female,Argentina
61,30,1988,1958,female,Argentina
20,10,1988,1978,male,Argentina
11,10,1988,1978,female,Argentina
208,75,1989,1914,male,Argentina
548,64,1989,1925,male,Argentina
462,44,1989,1945,male,Argentina
65,75,1989,1914,female,Argentina
219,30,1989,1959,male,Argentina
201,64,1989,1925,female,Argentina
186,20,1989,1969,male,Argentina
166,44,1989,1945,female,Argentina
83,30,1989,1959,female,Argentina
80,20,1989,1969,female,Argentina
18,10,1989,1979,male,Argentina
11,10,1989,1979,female,Argentina
226,75,1990,1915,male,Argentina
502,64,1990,1926,male,Argentina
439,44,1990,1946,male,Argentina
61,75,1990,1915,female,Argentina
182,30,1990,1960,male,Argentina
190,64,1990,1926,female,Argentina
174,20,1990,1970,male,Argentina
163,44,1990,1946,female,Argentina
91,20,1990,1970,female,Argentina
76,30,1990,1960,female,Argentina
